p10;p20;p30;p40;p50;p60;p70;p80;p90;uf_12;uf_13;uf_14;uf_15;uf_16;uf_17;uf_21;uf_22;uf_23;uf_24;uf_25;uf_26;uf_27;uf_28;uf_29;uf_31;uf_32;uf_33;uf_35;uf_41;uf_42;uf_43;uf_50;uf_51;uf_52;uf_53;sal_min;log_sal_min
-1,0296194171811583;-0,5596157879354227;-0,11814024230422504;-0,03193304710300904;-0,03193304710300904;0,0;0,1632115467259334;0,37353206100515557;0,8266785731844681;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,03193304710300904
-1,3862943611198908;-0,9808292530117262;-0,4700036292457357;-0,2516716349287478;-0,16546443972753178;0,0;0,2231435513142097;0,5276827408324136;1,0560526742493144;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,16546443972753178
-1,4759065198095778;-0,8472978603872034;-0,44183275227903884;-0,11814024230422504;-0,03193304710300904;0,0;0,1941560144409582;0,5389965007326873;0,9985288301111277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;678;-0,03193304710300904
-1,0116009116784799;-0,5701253660472823;-0,48391817084606625;-0,3184537311185345;-0,20067069546215066;0,0;0,20479441264601395;0,49247648509779474;0,9343092373768336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;678;-0,48391817084606625
-0,8021809415840675;-0,4976417520658636;-0,46570870496285455;-0,3321773123383318;-0,19241536996317254;0,0;0,22743847559709085;0,5328201251482731;0,989578527643987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;678;-0,4976417520658636
-0,6571367430369124;-0,5709295478356964;-0,4700036292457357;-0,4004775665971252;-0,1823215567939549;0,0;0,15415067982725805;0,5108256237659905;0,9162907318741542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;678;-0,5709295478356964
-0,8112874228641704;-0,6649763035932486;-0,4989911661189872;-0,33647223662121295;-0,15415067982725805;0,0;0,19415601444095731;0,35667494393873245;0,7621400520468962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;678;-0,7250802276629544
-0,8602012652231119;-0,6190392084062237;-0,485507815781701;-0,3349349573023268;-0,1670540846631665;0,0;0,1517301703387277;0,4307829160924541;0,8362480242006178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;678;-0,6509722555092328
-0,7308875085427928;-0,5232481437645484;-0,4054651081081646;-0,3001045924503387;-0,11778303565638382;0,0;0,16989903679539697;0,3930425881096067;0,7985076962177704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;678;-0,6887125834920802
-0,9555114450274367;-0,6509722555092328;-0,485507815781701;-0,33171434260228416;-0,1670540846631665;0,0;0,2076393647782444;0,4307829160924541;0,9007865453381907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;678;-0,6509722555092328
-0,8754687373539003;-0,5709295478356964;-0,5389965007326873;-0,4054651081081646;-0,1823215567939549;0,0;0,19117117207093592;0,5108256237659905;0,9162907318741542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;678;-0,5709295478356964
-0,7129498078561252;-0,5907321751318761;-0,48980625654191545;-0,30748469974796055;-0,20212418409013466;0,0;0,20334092401802994;0,49102299646981074;0,8964881045779745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;678;-0,5907321751318761
-0,8754687373539003;-0,5709295478356964;-0,5389965007326873;-0,35074020841891773;-0,1823215567939549;0,0;0,2231435513142097;0,5108256237659905;0,9162907318741542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;678;-0,5709295478356964
-0,8586116202874772;-0,7985076962177713;-0,5753641449035616;-0,4700036292457357;-0,2876820724517808;0,0;0,3184537311185345;0,7827593392496324;1,252762968495369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;678;-0,8586116202874772
-0,9808292530117262;-0,5389965007326873;-0,5052854433903757;-0,38077249551779335;-0,1823215567939549;0,0;0,22180932830107114;0,5108256237659905;0,9162907318741542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,5052854433903757
-1,021651247531981;-0,5108256237659905;-0,3285040669720356;-0,32296388659642083;-0,2231435513142097;0,0;0,1823215567939549;0,5877866649021195;1,0986122886681091;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,32296388659642083
-1,203972804325936;-0,6931471805599454;-0,3886079910417415;-0,32296388659642083;-0,2231435513142097;0,0;0,1823215567939549;0,4054651081081646;0,9162907318741551;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,32296388659642083
-1,0116009116784799;-0,48391817084606625;-0,4182740664007456;-0,38299225225610556;-0,20067069546215066;0,0;0,2762533766281585;0,5978370007556206;1,0079579203999787;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,4182740664007456
-1,280933845462065;-0,8109302162163292;-0,4054651081081646;-0,2231435513142097;-0,21760337093859494;0,0;0,20067069546215066;0,5108256237659905;0,9706105528173978;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,21760337093859494
-0,9583635082960624;-0,5798184952529422;-0,5461074379106305;-0,38566248081198395;-0,2231435513142097;0,0;0,1823215567939549;0,5525048507574795;0,9707789171582251;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,5461074379106305
-1,1394342831883648;-0,5978370007556206;-0,35667494393873245;-0,32296388659642083;-0,2231435513142097;0,0;0,1823215567939549;0,4054651081081646;0,9555114450274367;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,32296388659642083
-1,7972996496036702;-1,2376838616682475;-0,816470396591944;-0,37018329396352456;-0,06564410444532065;0,0;0,09982033528221113;0,4182740664007456;0,7284289947045854;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;0,0
-1,8971199848858813;-1,2465324187447315;-0,6931471805599454;-0,2876820724517808;-0,09982033528221113;0,0;0,24000066838063283;0,5596157879354227;1,0116009116784799;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,09982033528221113
-1,5096175771518894;-0,8810089177295151;-0,47554380962135046;-0,06564410444532065;0,0;0,0;0,21760337093859494;0,5052854433903757;1,0161110671563662;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;0,0
-1,163150809805681;-0,6931471805599454;-0,16546443972753178;-0,09982033528221113;-0,09982033528221113;0,0;0,2231435513142097;0,5596157879354227;0,9784201033397046;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,09982033528221113
-1,3862943611198908;-0,7985076962177713;-0,2876820724517808;-0,13353139262452274;-0,09982033528221113;0,0;0,2231435513142097;0,5276827408324136;0,9162907318741551;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,09982033528221113
-0,9808292530117262;-0,4700036292457357;-0,16546443972753178;-0,09982033528221113;-0,09982033528221113;0,0;0,2231435513142097;0,6286086594223743;1,016226560486758;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,09982033528221113
-0,9149565088610165;-0,5549537748296096;-0,09959169557682213;-0,033947591131501476;-0,033947591131501476;0,0;0,18365577980709347;0,47133785225887426;0,9308701816373146;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,033947591131501476
